name,party,votes,ward,status,constituency
S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,563216,ARAKKONAM - 7,Won,Tamil Nadu
L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,256657,ARAKKONAM - 7,Lost,Tamil Nadu
K BALU,Pattali Makkal Katchi,202325,ARAKKONAM - 7,Lost,Tamil Nadu
S AFSHIA NASRIN,Naam Tamilar Katchi,98944,ARAKKONAM - 7,Lost,Tamil Nadu
D PANDIYAN,Bahujan Samaj Party,6212,ARAKKONAM - 7,Lost,Tamil Nadu
A PALANI,Independent,3866,ARAKKONAM - 7,Lost,Tamil Nadu
K MANIGANDAN,Independent,2049,ARAKKONAM - 7,Lost,Tamil Nadu
INDU W,Tamil Manila Murpokku Dravida Kazhagam,1938,ARAKKONAM - 7,Lost,Tamil Nadu
DR A V NARENDRAN,Independent,1722,ARAKKONAM - 7,Lost,Tamil Nadu
M VIJAYAN,Independent,1678,ARAKKONAM - 7,Lost,Tamil Nadu
M BALU,Independent,1561,ARAKKONAM - 7,Lost,Tamil Nadu
SHETTU S,Independent,1561,ARAKKONAM - 7,Lost,Tamil Nadu
V BABU,United Republican Party of India,1366,ARAKKONAM - 7,Lost,Tamil Nadu
M THULASIRAMAN,Independent,1053,ARAKKONAM - 7,Lost,Tamil Nadu
D JANAKIRAMAN,Independent,837,ARAKKONAM - 7,Lost,Tamil Nadu
S SURESH KUMAR,Independent,835,ARAKKONAM - 7,Lost,Tamil Nadu
R VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,821,ARAKKONAM - 7,Lost,Tamil Nadu
V VINAYAGAM,Independent,729,ARAKKONAM - 7,Lost,Tamil Nadu
VIJAYAN K,All India Jananayaka Makkal Kazhagam,633,ARAKKONAM - 7,Lost,Tamil Nadu
SHANAVAS J,Independent,583,ARAKKONAM - 7,Lost,Tamil Nadu
V KRISHNANANDAN,Anna MGR Dravida Makkal Kalgam,582,ARAKKONAM - 7,Lost,Tamil Nadu
A JAYACHANDRAN,Independent,538,ARAKKONAM - 7,Lost,Tamil Nadu
N SUGUMAR,Independent,432,ARAKKONAM - 7,Lost,Tamil Nadu
M VIJAY,Independent,427,ARAKKONAM - 7,Lost,Tamil Nadu
G SUDHAKAR,Independent,380,ARAKKONAM - 7,Lost,Tamil Nadu
K VENKATESAN,Independent,264,ARAKKONAM - 7,Lost,Tamil Nadu
NOTA,None of the Above,12613,ARAKKONAM - 7,Lost,Tamil Nadu
THARANIVENTHAN M S,Dravida Munnetra Kazhagam,500099,ARANI - 12,Won,Tamil Nadu
"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,291333,ARANI - 12,Lost,Tamil Nadu
DR GANESH KUMAR A ME PHD,Pattali Makkal Katchi,236571,ARANI - 12,Lost,Tamil Nadu
"BAKIYALAKSHMI, K.",Naam Tamilar Katchi,66740,ARANI - 12,Lost,Tamil Nadu
"MANIGANDAN, V.",Independent,4808,ARANI - 12,Lost,Tamil Nadu
"GANESH KUMAR, U.",Independent,3812,ARANI - 12,Lost,Tamil Nadu
DURAI  M,Bahujan Samaj Party,3685,ARANI - 12,Lost,Tamil Nadu
"GAJENDRAN, J.",Independent,3400,ARANI - 12,Lost,Tamil Nadu
"KARVANNAN, K.",Independent,3036,ARANI - 12,Lost,Tamil Nadu
"GAJENDIRAN, E.",Independent,2613,ARANI - 12,Lost,Tamil Nadu
"KOTTAI VENKATESAN, M.",Independent,1908,ARANI - 12,Lost,Tamil Nadu
"SENTHIL KUMAR, D.",Independent,1475,ARANI - 12,Lost,Tamil Nadu
"SEKAR, N.",Independent,1400,ARANI - 12,Lost,Tamil Nadu
SAKTHIVEL A,Thakkam Katchi,1186,ARANI - 12,Lost,Tamil Nadu
"GANESH, P.",Independent,980,ARANI - 12,Lost,Tamil Nadu
NAGARAJAN P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,927,ARANI - 12,Lost,Tamil Nadu
CAPTAIN SETTU M,Viro Ke Vir Indian Party,922,ARANI - 12,Lost,Tamil Nadu
"JAISANKAR, M.",Independent,840,ARANI - 12,Lost,Tamil Nadu
EZHIL ARASU M,Independent,753,ARANI - 12,Lost,Tamil Nadu
BABU N,Independent,674,ARANI - 12,Lost,Tamil Nadu
"DURUGAN, M.",United Republican Party of India,604,ARANI - 12,Lost,Tamil Nadu
MOHMMAD SIDDIQ M H,Independent,528,ARANI - 12,Lost,Tamil Nadu
"ARUL, M.",Independent,510,ARANI - 12,Lost,Tamil Nadu
"MANAVALAN, A.",Anna MGR Dravida Makkal Kalgam,480,ARANI - 12,Lost,Tamil Nadu
"DHARANI, D.",Independent,468,ARANI - 12,Lost,Tamil Nadu
"MURUGESAN, D.",Independent,403,ARANI - 12,Lost,Tamil Nadu
"ELLAPPAN, R.",Independent,378,ARANI - 12,Lost,Tamil Nadu
"FEROZKHAN, A.",Independent,298,ARANI - 12,Lost,Tamil Nadu
"DHAMODHARAN, G.",Independent,242,ARANI - 12,Lost,Tamil Nadu
NOTA,None of the Above,9188,ARANI - 12,Lost,Tamil Nadu
DAYANIDHI MARAN,Dravida Munnetra Kazhagam,413848,CHENNAI CENTRAL - 4,Won,Tamil Nadu
VINOJ,Bharatiya Janata Party,169159,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
B. PARTHASARATHY,Desiya Murpokku Dravida Kazhagam,72016,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
DR.R.KARTHIKEYAN,Naam Tamilar Katchi,46031,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
ANBAZHAGAN.G,Independent,3186,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
DILAVAR ALI,Tipu Sultan Party,2546,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
SAMARAN,Bahujan Samaj Party,2147,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
L.KASINATHAN,Independent,1060,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
AGNI AALVAR,Independent,787,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
C.S.KARNAN,Anti Corruption Dynamic Party,761,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
M.L.RAVI,Desiya Makkal Sakthi Katchi,696,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
S.KANDASAMY,Independent,596,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
DHAYANIDHI SURESH,Independent,567,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
S.SATHISH KUMAR,Independent,527,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
P.ARJUNAN,Independent,509,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
S.SATHISH KUMAR,Independent,501,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
G.OMPRAKASH,Independent,488,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
V.V.TAMILARASAN,Independent,389,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
UDAYA KUMAR.V,Independent,382,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
B.PARTHASARATHY,Independent,380,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
K.CHANDRASEKAR,Naadaalum Makkal Katchi,373,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
N.RAMAN,Tamilnadu Makkal Nalvazhvu Periyakkam,314,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
R.MINNAL RAJ,Independent,310,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
A.SELVA KUMAR,Thakkam Katchi,270,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
R.VIJAY,Independent,268,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
M.NAGARAJ,Independent,254,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
J.NAGARAJ,Independent,241,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
SENTHILKUMAR,Chennai Youth Party,223,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
RANJITHKUMAR.S,Independent,215,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
RAVI BALARAMAN,Independent,183,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
MANJUNATHA.R,Independent,159,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
NOTA,None of the Above,11163,CHENNAI CENTRAL - 4,Lost,Tamil Nadu
DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,497333,CHENNAI NORTH - 2,Won,Tamil Nadu
R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,158111,CHENNAI NORTH - 2,Lost,Tamil Nadu
R.C. PAUL KANAGARAJ,Bharatiya Janata Party,113318,CHENNAI NORTH - 2,Lost,Tamil Nadu
AMUDINI,Naam Tamilar Katchi,95954,CHENNAI NORTH - 2,Lost,Tamil Nadu
SARAH FATHIMA,Independent,5923,CHENNAI NORTH - 2,Lost,Tamil Nadu
E. IQBAL,Bahujan Samaj Party,3486,CHENNAI NORTH - 2,Lost,Tamil Nadu
MOORTHY. V,Independent,3137,CHENNAI NORTH - 2,Lost,Tamil Nadu
SURIYAMUTHU,Independent,978,CHENNAI NORTH - 2,Lost,Tamil Nadu
C. SENAPATHI,Independent,850,CHENNAI NORTH - 2,Lost,Tamil Nadu
DILLI GANESH. E,Independent,736,CHENNAI NORTH - 2,Lost,Tamil Nadu
U. VENKATESH,Independent,714,CHENNAI NORTH - 2,Lost,Tamil Naduist
M. ZION RAJ,Independent,697,CHENNAI NORTH - 2,Lost,Tamil Nadu
A. AJITHKUMAR,Thakkam Katchi,673,CHENNAI NORTH - 2,Lost,Tamil Nadu
J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),588,CHENNAI NORTH - 2,Lost,Tamil Nadu
AKSHAY,Naadaalum Makkal Katchi,566,CHENNAI NORTH - 2,Lost,Tamil Nadu
B. BALAMURUGAN,Independent,488,CHENNAI NORTH - 2,Lost,Tamil Nadu
K.PALANIAPPAN,Independent,462,CHENNAI NORTH - 2,Lost,Tamil Nadu
R. SENTHIL KUMAR,Independent,457,CHENNAI NORTH - 2,Lost,Tamil Nadu
MATHANKUMAR. G,Independent,390,CHENNAI NORTH - 2,Lost,Tamil Nadu
P. JAYASELAN,Independent,386,CHENNAI NORTH - 2,Lost,Tamil Nadu
M. KOLANJI,Independent,362,CHENNAI NORTH - 2,Lost,Tamil Nadu
B. ZAKIR HUSSAIN,Independent,355,CHENNAI NORTH - 2,Lost,Tamil Nadu
P. UMADEVI,Independent,346,CHENNAI NORTH - 2,Lost,Tamil Nadu
K.C.JAYAPRAKASH,Independent,334,CHENNAI NORTH - 2,Lost,Tamil Nadu
C. SRIDHAR,Independent,307,CHENNAI NORTH - 2,Lost,Tamil Nadu
T. MANOHARAN,Independent,293,CHENNAI NORTH - 2,Lost,Tamil Nadu
K. SAMPATH,Independent,269,CHENNAI NORTH - 2,Lost,Tamil Nadu
D. SRINIVASAN,Independent,261,CHENNAI NORTH - 2,Lost,Tamil Nadu
S. RAVIKUMAR,Republican Party of India  (Sivaraj),259,CHENNAI NORTH - 2,Lost,Tamil Nadu
T. KAVIYARASU,Independent,252,CHENNAI NORTH - 2,Lost,Tamil Nadu
SATHISH. B,Independent,246,CHENNAI NORTH - 2,Lost,Tamil Nadu
D. KABILAN,Independent,209,CHENNAI NORTH - 2,Lost,Tamil Nadu
R.VINAYAGAMOORTHY,Independent,206,CHENNAI NORTH - 2,Lost,Tamil Nadu
P. MARIMUTHU,Independent,172,CHENNAI NORTH - 2,Lost,Tamil Nadu
V.MADHAN MOHAN,Independent,163,CHENNAI NORTH - 2,Lost,Tamil Nadu
NOTA,None of the Above,13208,CHENNAI NORTH - 2,Lost,Tamil Nadu
T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,516628,CHENNAI SOUTH - 3,Won,Tamil Nadu
DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,290683,CHENNAI SOUTH - 3,Lost,Tamil Nadu
DR.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,172491,CHENNAI SOUTH - 3,Lost,Tamil Nadu
S.TAMILCHELVI,Naam Tamilar Katchi,83972,CHENNAI SOUTH - 3,Lost,Tamil Nadu
M.G.RAMU,Jebamani Janata,3534,CHENNAI SOUTH - 3,Lost,Tamil Nadu
M.AZARUTHEEN,Independent,1812,CHENNAI SOUTH - 3,Lost,Tamil Nadu
G.P. ROBERT,Bahujan Samaj Party,1599,CHENNAI SOUTH - 3,Lost,Tamil Nadu
R.RAVICHANDRAN,Independent,835,CHENNAI SOUTH - 3,Lost,Tamil Nadu
S.MANIMARAN,Independent,803,CHENNAI SOUTH - 3,Lost,Tamil Nadu
FARMER JAYARAMAN. S.K.J,Desiya Makkal Sakthi Katchi,792,CHENNAI SOUTH - 3,Lost,Tamil Nadu
A.K.D. ELLAPPAN,Mahathma Makkal Munnetra Kazhakam,761,CHENNAI SOUTH - 3,Lost,Tamil Nadu
K.KANNAN,Independent,625,CHENNAI SOUTH - 3,Lost,Tamil Nadu
BALAJI. G. MANGADU,Aravor Munnetra Kazhagam,589,CHENNAI SOUTH - 3,Lost,Tamil Nadu
R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,566,CHENNAI SOUTH - 3,Lost,Tamil Nadu
KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,565,CHENNAI SOUTH - 3,Lost,Tamil Nadu
SASI REKHA,Naadaalum Makkal Katchi,559,CHENNAI SOUTH - 3,Lost,Tamil Nadu
P. SATHEESH KUMAR,Independent,521,CHENNAI SOUTH - 3,Lost,Tamil Nadu
P.SEKAR,Thakkam Katchi,435,CHENNAI SOUTH - 3,Lost,Tamil Nadu
R.YOGESHWARAN,Independent,426,CHENNAI SOUTH - 3,Lost,Tamil Nadu
J. SATHISH,Independent,418,CHENNAI SOUTH - 3,Lost,Tamil Nadu
V.P. RAVIKKARAN,Independent,373,CHENNAI SOUTH - 3,Lost,Tamil Nadu
A.PONNUDURAI,Independent,362,CHENNAI SOUTH - 3,Lost,Tamil Nadu
N.V.DAMODARAN,National Maha Sabha Party,343,CHENNAI SOUTH - 3,Lost,Tamil Nadu
M.MUNUSWAMY,Viro Ke Vir Indian Party,330,CHENNAI SOUTH - 3,Lost,Tamil Nadu
KARTHIK MURTHY,Independent,315,CHENNAI SOUTH - 3,Lost,Tamil Nadu
V.P.SURESH,Independent,289,CHENNAI SOUTH - 3,Lost,Tamil Nadu
E.RAMESH,Independent,270,CHENNAI SOUTH - 3,Lost,Tamil Nadu
R.BALAJI,Independent,264,CHENNAI SOUTH - 3,Lost,Tamil Nadu
DINESH KUMAR. B,Independent,253,CHENNAI SOUTH - 3,Lost,Tamil Nadu
A.BABU,Independent,246,CHENNAI SOUTH - 3,Lost,Tamil Nadu
DAYALAN. R,Independent,242,CHENNAI SOUTH - 3,Lost,Tamil Nadu
VIJIRATHINAM. M,Independent,237,CHENNAI SOUTH - 3,Lost,Tamil Nadu
V.SIVAKUMAR,Independent,217,CHENNAI SOUTH - 3,Lost,Tamil Nadu
MURUGAN. P,Independent,182,CHENNAI SOUTH - 3,Lost,Tamil Nadu
G.RAMESHBABU,Independent,179,CHENNAI SOUTH - 3,Lost,Tamil Nadu
S.RAJASEKARAN,Independent,178,CHENNAI SOUTH - 3,Lost,Tamil Nadu
N.NARAYANASWAMY,Independent,175,CHENNAI SOUTH - 3,Lost,Tamil Nadu
R.DEVENDRAN,Independent,168,CHENNAI SOUTH - 3,Lost,Tamil Nadu
PARTHIBAN. S,Independent,166,CHENNAI SOUTH - 3,Lost,Tamil Nadu
I. DAVIDSINGH,Independent,151,CHENNAI SOUTH - 3,Lost,Tamil Nadu
E RAVENDRAN,Independent,114,CHENNAI SOUTH - 3,Lost,Tamil Nadu
NOTA,None of the Above,15653,CHENNAI SOUTH - 3,Lost,Tamil Nadu
THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,505084,CHIDAMBARAM - 27,Won,Tamil Nadu
CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,401530,CHIDAMBARAM - 27,Lost,Tamil Nadu
KARTHIYAYINI P,Bharatiya Janata Party,168493,CHIDAMBARAM - 27,Lost,Tamil Nadu
JANCIRANI R,Naam Tamilar Katchi,65589,CHIDAMBARAM - 27,Lost,Tamil Nadu
NEELAMEGAM K,Bahujan Samaj Party,3203,CHIDAMBARAM - 27,Lost,Tamil Nadu
TAMILVENDHAN P,Independent,3062,CHIDAMBARAM - 27,Lost,Tamil Nadu
PERUMAL S,Independent,2239,CHIDAMBARAM - 27,Lost,Tamil Nadu
VETTRIVEL G,Independent,2041,CHIDAMBARAM - 27,Lost,Tamil Nadu
ARCHUNAN M A T,Independent,1836,CHIDAMBARAM - 27,Lost,Tamil Nadu
DHAMODHARAN S,Naadaalum Makkal Katchi,1642,CHIDAMBARAM - 27,Lost,Tamil Nadu
RATHA G,Independent,1280,CHIDAMBARAM - 27,Lost,Tamil Nadu
RAJAMANICKAM C,Independent,1087,CHIDAMBARAM - 27,Lost,Tamil Nadu
CHINNADURAI A,Independent,638,CHIDAMBARAM - 27,Lost,Tamil Nadu
ELAVARASAN C,Independent,586,CHIDAMBARAM - 27,Lost,Tamil Nadu
NOTA,None of the Above,8761,CHIDAMBARAM - 27,Lost,Tamil Nadu
GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,568200,COIMBATORE - 20,Won,Tamil Nadu
ANNAMALAI K,Bharatiya Janata Party,450132,COIMBATORE - 20,Lost,Tamil Nadu
SINGAI G RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,236490,COIMBATORE - 20,Lost,Tamil Nadu
KALAMANI JAGANATHAN,Naam Tamilar Katchi,82657,COIMBATORE - 20,Lost,Tamil Nadu
VELMURUGAN K,Bahujan Samaj Party,2375,COIMBATORE - 20,Lost,Tamil Nadu
SANJAYKUMAR S,Independent,1789,COIMBATORE - 20,Lost,Tamil Nadu
ANNADURAI R,Independent,1772,COIMBATORE - 20,Lost,Tamil Nadu
SURESH M,Independent,1474,COIMBATORE - 20,Lost,Tamil Nadu
GOPALAKRISHNAN S,Independent,1199,COIMBATORE - 20,Lost,Tamil Nadu
RAGHUL GANDHI K,Hindustan Janta Party,1176,COIMBATORE - 20,Lost,Tamil Nadu
KARTHICK T,Independent,1073,COIMBATORE - 20,Lost,Tamil Nadu
RAJKUMAR M,Independent,1068,COIMBATORE - 20,Lost,Tamil Nadu
RAJKUMAR,Independent,1013,COIMBATORE - 20,Lost,Tamil Nadu
RAJKUMAR G,Independent,892,COIMBATORE - 20,Lost,Tamil Nadu
SHANMUGAM K,Independent,882,COIMBATORE - 20,Lost,Tamil Nadu
KRISHNAN V,Independent,726,COIMBATORE - 20,Lost,Tamil Nadu
RAMACHANDRAN M,Independent,663,COIMBATORE - 20,Lost,Tamil Nadu
RAJAMANICKAM N,Independent,629,COIMBATORE - 20,Lost,Tamil Nadu
RAJKUMAR G B,Independent,611,COIMBATORE - 20,Lost,Tamil Nadu
KUMAR A,Ganasangam Party of India,551,COIMBATORE - 20,Lost,Tamil Nadu
RICHARD VINCENT,Viro Ke Vir Indian Party,492,COIMBATORE - 20,Lost,Tamil Nadu
SANGEETHA R,Naadaalum Makkal Katchi,492,COIMBATORE - 20,Lost,Tamil Nadu
SURIYAKUMAR K,Independent,447,COIMBATORE - 20,Lost,Tamil Nadu
ARUNKANTH V,Independent,438,COIMBATORE - 20,Lost,Tamil Nadu
ANANDHAKUMAR S,Rashtriya Samaj Paksha,419,COIMBATORE - 20,Lost,Tamil Nadu
RAMACHANDRAN R,Independent,369,COIMBATORE - 20,Lost,Tamil Nadu
MUTHUSAMY P P,Independent,369,COIMBATORE - 20,Lost,Tamil Nadu
PALANISAMYRAAJ M,Independent,316,COIMBATORE - 20,Lost,Tamil Nadu
PUSHPANANTHAM V,Tamizhaga Murpokku Makkal Katchi,305,COIMBATORE - 20,Lost,Tamil Nadu
DINESH K,Independent,285,COIMBATORE - 20,Lost,Tamil Nadu
PREMKUMAR P,Independent,283,COIMBATORE - 20,Lost,Tamil Nadu
RAVICHANDRAN,Independent,272,COIMBATORE - 20,Lost,Tamil Nadu
DURAISAMY A,Independent,266,COIMBATORE - 20,Lost,Tamil Nadu
ZAHIR HUSSAIN,Independent,260,COIMBATORE - 20,Lost,Tamil Nadu
BOOBALAN,Independent,253,COIMBATORE - 20,Lost,Tamil Nadu
NOORMUHAMAD A,Independent,234,COIMBATORE - 20,Lost,Tamil Nadu
PASUPATHI S,Independent,173,COIMBATORE - 20,Lost,Tamil Nadu
NOTA,None of the Above,11788,COIMBATORE - 20,Lost,Tamil Nadu
M.K. VISHNUPRASAD,Indian National Congress,455053,CUDDALORE - 26,Won,Tamil Nadu
P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,269157,CUDDALORE - 26,Lost,Tamil Nadu
THANKAR BACHAN,Pattali Makkal Katchi,205244,CUDDALORE - 26,Lost,Tamil Nadu
V. MANIVASAGAN,Naam Tamilar Katchi,57424,CUDDALORE - 26,Lost,Tamil Nadu
S. ARIVUDAINAMBI,Anti Corruption Dynamic Party,6500,CUDDALORE - 26,Lost,Tamil Nadu
A. BALAJI,Independent,5450,CUDDALORE - 26,Lost,Tamil Nadu
V.THANIGAISELVAN,Bahujan Samaj Party,3971,CUDDALORE - 26,Lost,Tamil Nadu
K. MAYAKRISHNAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,3702,CUDDALORE - 26,Lost,Tamil Nadu
SU.VA. DHATSHANAMOORTHY,Independent,3419,CUDDALORE - 26,Lost,Tamil Nadu
S. RAMALINGAM,Independent,3216,CUDDALORE - 26,Lost,Tamil Nadu
G. PICHAMUTHU,Independent,2194,CUDDALORE - 26,Lost,Tamil Nadu
R. ANANDHI,Independent,1696,CUDDALORE - 26,Lost,Tamil Nadu
S. CHAKKARAVARTHY,Independent,1488,CUDDALORE - 26,Lost,Tamil Nadu
R. SRINIVASAN,Independent,1363,CUDDALORE - 26,Lost,Tamil Nadu
V. DAKSHANAAMURTHY,Independent,1286,CUDDALORE - 26,Lost,Tamil Nadu
THANGA MURUGAN,Desiya Makkal Sakthi Katchi,1036,CUDDALORE - 26,Lost,Tamil Nadu
R. RAJASEKAR,Independent,712,CUDDALORE - 26,Lost,Tamil Nadu
R. PRAKASH,Independent,700,CUDDALORE - 26,Lost,Tamil Nadu
S. RAJAMOHAN,Independent,660,CUDDALORE - 26,Lost,Tamil Nadu
NOTA,None of the Above,7292,CUDDALORE - 26,Lost,Tamil Nadu
MANI. A.,Dravida Munnetra Kazhagam,432667,DHARMAPURI - 10,Won,Tamil Nadu
SOWMIYA ANBUMANI,Pattali Makkal Katchi,411367,DHARMAPURI - 10,Lost,Tamil Nadu
ASOKAN. R. DR.,All India Anna Dravida Munnetra Kazhagam,293629,DHARMAPURI - 10,Lost,Tamil Nadu
ABINAYA,Naam Tamilar Katchi,65381,DHARMAPURI - 10,Lost,Tamil Nadu
THANGAVEL. K.,Dhesiya Makkal Kazhagam,7331,DHARMAPURI - 10,Lost,Tamil Nadu
THIRUMURUGAN. P.,Independent,5671,DHARMAPURI - 10,Lost,Tamil Nadu
